column,dtype,missing_values,unique_values
customerID,str,0,7043
gender,str,0,2
SeniorCitizen,str,0,2
Partner,str,0,2
Dependents,str,0,2
tenure,int64,0,73
PhoneService,str,0,2
MultipleLines,str,0,3
InternetService,str,0,3
OnlineSecurity,str,0,3
OnlineBackup,str,0,3
DeviceProtection,str,0,3
TechSupport,str,0,3
StreamingTV,str,0,3
StreamingMovies,str,0,3
Contract,str,0,3
PaperlessBilling,str,0,2
PaymentMethod,str,0,4
MonthlyCharges,float64,0,1585
TotalCharges,float64,0,6531
Churn,str,0,2
ChurnLabel,int64,0,2
tenure_band,category,0,5
total_services,int64,0,9
avg_monthly_charge_from_total,float64,0,6586
monthly_to_total_ratio,float64,0,6421
is_new_customer,str,0,2
has_streaming_bundle,str,0,2
